>bird	classification	genus	family	order
bar headed goose	waterfowl		ducks, geese and swans	anseriformes
mallard	waterfowl	anas	ducks, geese and swans	anseriformes
mallard duck	waterfowl	anas	ducks, geese and swans	anseriformes
shorebird	shorebirds		plovers	charadriiformes
pintail duck	waterfowl		ducks, geese and swans	anseriformes
black duck	waterfowl		ducks, geese and swans	anseriformes
duck	waterfowl	anas	ducks, geese and swans	anseriformes
goose	waterfowl		ducks, geese and swans	anseriformes
chicken	domestic birds	gallus	pheasants and allies	galliformes
northern pintail	waterfowl	anas	ducks, geese and swans	anseriformes
blue-winged teal	waterfowl	anas	ducks, geese and swans	anseriformes
widgeon	waterfowl	anas	ducks, geese and swans	anseriformes
gadwall	waterfowl	anas	ducks, geese and swans	anseriformes
ruddy turnstone	shorebirds	arenaria	sandpipers, snipes	charadriiformes
African Stonechat	land birds	saxicola	chats, old world flycatchers (320)	passeriformes
wild duck	waterfowl	anas	ducks, geese and swans	anseriformes
American coot	land birds	fulica	rails, crakes and coots	gruiformes
red knot	shorebirds	calidris	sandpipers, snipes	charadriiformes
avian	unknown			
barn swallow	land birds	hirundo	swallows, martins	passeriformes
pintail	waterfowl	anas	ducks, geese and swans	anseriformes
muscovy duck	waterfowl	cairina	ducks, geese and swans	anseriformes
semi-palmated sandpiper	shorebirds	calidris	sandpipers, snipes	charadriiformes
American green-winged teal	waterfowl	anas	ducks, geese and swans	anseriformes
herring gull	shorebirds		gulls, terns and skimmers	charadriiformes
American wigeon	waterfowl	anas	ducks, geese and swans	anseriformes
black-billed magpie	land birds	pica	crows, jays	passeriformes
white front goose	waterfowl		ducks, geese and swans	anseriformes
wild waterfowl	waterfowl		ducks, geese and swans	anseriformes
brambling	land birds	fringilla	finches	passeriformes
laughing gull	shorebirds	leucophaeus	gulls, terns and skimmers	charadriiformes
gull	shorebirds		gulls, terns and skimmers	charadriiformes
Cygnus olor	waterfowl	cygnus	ducks, geese and swans	anseriformes
turkey	domestic birds	meleagris	pheasants and allies	galliformes
green-winged teal	waterfowl	anas	ducks, geese and swans	anseriformes
Chinese Hwamei	land birds	garrulax	laughingthrushes	passeriformes
canvasback	waterfowl	aythya	ducks, geese and swans	anseriformes
sanderling	shorebirds	calidris	sandpipers, snipes	charadriiformes
northern shoveler	waterfowl	anas	ducks, geese and swans	anseriformes
greater scaup	waterfowl	aythya	ducks, geese and swans	anseriformes
common goldeneye	waterfowl	bucephala	ducks, geese and swans	anseriformes
turnstone	shorebirds	arenaria	sandpipers, snipes	charadriiformes
Canada goose	waterfowl	branta	ducks, geese and swans	anseriformes
snow goose	waterfowl	chen	ducks, geese and swans	anseriformes
cinnamon teal	waterfowl	anas	ducks, geese and swans	anseriformes
white-fronted goose	waterfowl		ducks, geese and swans	anseriformes
Guinea fowl	domestic birds		guineafowl	galliformes
tundra swan	waterfowl	cygnus	ducks, geese and swans	anseriformes
common murre	shorebirds	uria	auks	charadriiformes
thick-billed murre	shorebirds		auks	charadriiformes
chukar	domestic birds	alectoris	pheasants and allies	galliformes
common coot	land birds	fulica	rails, crakes and coots	gruiformes
aquatic bird	waterfowl		ducks, geese and swans	anseriformes
