>genomeID	strainName	bird	classification
17513	A/ruddy turnstone/New Jersey/47/1985_H4N6	ruddy turnstone	shorebirds
17515	A/mallard/Alberta/52/1997_H12N5	mallard	waterfowl
22045	A/mallard/Alberta/77/1977_H2N3	mallard	waterfowl
22047	A/pintail/Alberta/293/1977_H2N9	pintail	waterfowl
22049	A/laughing gull/New Jersey/75/1985_H2N9	laughing gull	shorebirds
22051	A/mallard/Alberta/884/1984_H2N5	mallard	waterfowl
22055	A/sanderling/New Jersey/766/1986_H2N7	sanderling	shorebirds
22057	A/herring gull/DE/475/1986_H13N2	herring gull	shorebirds
22059	A/herring gull/DE/703/1988_H2N8	herring gull	shorebirds
22061	A/laughing gull/New Jersey/798/1986_H2N7	laughing gull	shorebirds
22063	A/mallard/Alberta/323/1988_H2N1	mallard	waterfowl
22067	A/mallard/Alberta/201/1996_H2N3	mallard	waterfowl
22071	A/blue-winged teal/Alberta/16/1997_H2N9	blue-winged teal	waterfowl
22073	A/mallard/Alberta/205/1998_H2N3	mallard	waterfowl
22075	A/mallard/Alberta/226/98_H2N3	mallard	waterfowl
22079	A/mallard/Alberta/79/2003_H2N3	mallard	waterfowl
22081	A/mallard duck/ALB/250/1978_H6N2	mallard duck	waterfowl
22083	A/blue-winged teal/ALB/48/1978_H6N5	blue-winged teal	waterfowl
22085	A/mallard duck/ALB/280/1978_H6N2	mallard duck	waterfowl
22087	A/mallard duck/ALB/290/1978_H6N2	mallard duck	waterfowl
22091	A/mallard duck/ALB/564/1979_H3N8	mallard duck	waterfowl
22093	A/pintail duck/ALB/628/1979_H6N8	pintail duck	waterfowl
22095	A/mallard duck/ALB/676/1979_H3N6	mallard duck	waterfowl
22097	A/mallard duck/ALB/1151/1979_H6N9	mallard duck	waterfowl
22099	A/pintail/Alberta/189/82_H6N6	pintail	waterfowl
22101	A/widgeon/ALB/256/1982_H6N6	widgeon	waterfowl
22103	A/blue-winged teal/ALB/266/1982_H6N6	blue-winged teal	waterfowl
22105	A/mallard/Alberta/289/82_H6N6	mallard	waterfowl
22107	A/blue-winged teal/ALB/685/1982_H6N4	blue-winged teal	waterfowl
22109	A/mallard duck/ALB/10/1985_H6N2	mallard duck	waterfowl
22111	A/blue-winged teal/ALB/69/1985_H6N2	blue-winged teal	waterfowl
22113	A/mallard duck/ALB/76/1985_H6N3	mallard duck	waterfowl
22115	A/pintail duck/ALB/111/1985_H6N2	pintail duck	waterfowl
22117	A/shoveler/ALB/114/1985_H6N2	shoveler	waterfowl
22119	A/mallard duck/ALB/155/1990_H6N3	mallard duck	waterfowl
22121	A/mallard duck/ALB/191/1990_H6N3	mallard duck	waterfowl
22123	A/mallard duck/ALB/253/1990_H6N3	mallard duck	waterfowl
22125	A/mallard/ALB/199/1992_H6N5	mallard	waterfowl
22127	A/pintail/ALB/179/1993_H6N1	pintail	waterfowl
22131	A/mallard/Alberta/154/2003_H6N5	mallard	waterfowl
22133	A/shorebird/DE/12/2004_H6N8	shorebird	shorebirds
22135	A/mallard duck/ALB/57/1976_H5N2	mallard duck	waterfowl
22137	A/mallard duck/ALB/396/1983_H9N1	mallard duck	waterfowl
22139	A/pintail duck/Alberta/49/2003_H12N5	pintail duck	waterfowl
22141	A/pintail duck/ALB/303/1977_H10N7	pintail duck	waterfowl
22143	A/mallard/Alberta/209/2003_H10N7	mallard	waterfowl
22145	A/mallard/Alberta/294/1977_H11N9	mallard	waterfowl
22149	A/shorebird/DE/101/2004_H5N7	shorebird	shorebirds
22151	A/ruddy turnstone/New Jersey/65/1985_H7N3	ruddy turnstone	shorebirds
22153	A/red knot/Delaware/2552/1987_H9N5	red knot	shorebirds
22155	A/laughing gull/Delaware Bay/5/2003_H9N1	laughing gull	shorebirds
22157	A/shorebird/DE/68/2004_H13N9	shorebird	shorebirds
22159	A/herring gull/NJ/782/1986_H13N2	herring gull	shorebirds
22161	A/mallard/Alberta/42/1977_H1N6	mallard	waterfowl
22163	A/mallard/Alberta/46/1977_H1N1	mallard	waterfowl
22165	A/pintail duck/ALB/219/1977_H1N1	pintail duck	waterfowl
22167	A/pintail duck/ALB/238/1979_H1N1	pintail duck	waterfowl
22169	A/mallard/Alberta/965/1979_H1N1	mallard	waterfowl
22171	A/mallard/Alberta/201/1998_H1N1	mallard	waterfowl
22173	A/coot/Alberta/134/1987_H6N2	coot	land birds
22175	A/mallard duck/ALB/294/1987_H6N2	mallard duck	waterfowl
22177	A/mallard/Alberta/322/1988_H1N1	mallard	waterfowl
22179	A/blue-winged teal/Alberta/141/1992_H1N1	blue-winged teal	waterfowl
22181	A/pintail/Alberta/210/2002_H1N1	pintail	waterfowl
22183	A/herring gull/DE/692/1988_H2N8	herring gull	shorebirds
22187	A/ruddy turnstone/DE/773/1988_H9N6	ruddy turnstone	shorebirds
22189	A/pintail duck/ALB/86/1976_H3N2	pintail duck	waterfowl
22191	A/mallard/Alberta/127/1977_H1N1	mallard	waterfowl
22193	A/mallard duck/ALB/712/1978_H3N3	mallard duck	waterfowl
22195	A/green-winged teal/ALB/438/1979_H3N8	green-winged teal	waterfowl
22197	A/pintail duck/ALB/462/1979_H3N6	pintail duck	waterfowl
22199	A/blue-winged teal/ALB/452/1983_H3N1	blue-winged teal	waterfowl
22201	A/mallard duck/ALB/506/1983_H9N1	mallard duck	waterfowl
22203	A/mallard/Alberta/635/1983_H3N5	mallard	waterfowl
22205	A/mallard duck/ALB/525/1985_H3N8	mallard duck	waterfowl
22207	A/blue-winged teal/ALB/569/1985_H3N8	blue-winged teal	waterfowl
22209	A/mallard/ALB/394/1988_H3N3	mallard	waterfowl
22211	A/mallard/Alberta/118/1995_H3N5	mallard	waterfowl
22213	A/mallard/Alberta/156/2001_H3N8	mallard	waterfowl
22215	A/mallard duck/ALB/26/1976_H3N1	mallard duck	waterfowl
22217	A/canvasback duck/ALB/274/1977_H4N6	canvasback duck	waterfowl
22219	A/gadwall duck/ALB/53/1977_H4N6	gadwall duck	waterfowl
22221	A/redhead duck/ALB/74/1977_H4N6	redhead duck	waterfowl
22223	A/blue-winged teal/ALB/243/1977_H4N6	blue-winged teal	waterfowl
22225	A/mallard/Alberta/300/1977_H4N3	mallard	waterfowl
22227	A/mallard duck/ALB/210/1977_H4N8	mallard duck	waterfowl
22229	A/mallard duck/ALB/161/1977_H4N6	mallard duck	waterfowl
22231	A/pintail duck/ALB/220/1977_H4N8	pintail duck	waterfowl
22233	A/mallard duck/Alberta/354/1978_H4N2	mallard duck	waterfowl
22237	A/blue-winged teal/Alberta/580/1979_H4N2	blue-winged teal	waterfowl
22239	A/pintail duck/ALB/599/1979_H4N2	pintail duck	waterfowl
22241	A/mallard duck/Alberta/630/1984_H4N2	mallard duck	waterfowl
22243	A/pintail duck/ALB/623/1985_H4N6	pintail duck	waterfowl
22245	A/ruddy turnstone/DE/512/1988_H4N6	ruddy turnstone	shorebirds
22247	A/blue-winged teal/ALB/136/1990_H4N3	blue-winged teal	waterfowl
22249	A/blue-winged teal/ALB/293/1994_H4N6	blue-winged teal	waterfowl
22251	A/mallard/ALB/49/1995_H4N6	mallard	waterfowl
22253	A/mallard/Alberta/47/98_H4N1	mallard	waterfowl
22255	A/mallard/Alberta/30/2001_H4N8	mallard	waterfowl
22257	A/pintail/Alberta/269/2001_H4N6	pintail	waterfowl
22259	A/blue-winged teal/Alberta/293/2003_H4N6	blue-winged teal	waterfowl
22261	A/mallard duck/Alberta/291/1977_H4N1	mallard duck	waterfowl
22263	A/shorebird/DE/75/2004_H5N7	shorebird	shorebirds
22265	A/pintail duck/Alberta/114/1979_H8N4	pintail duck	waterfowl
22267	A/mallard/Alberta/7/1987_H8N4	mallard	waterfowl
22269	A/mallard/Alberta/194/1992_H8N4	mallard	waterfowl
22271	A/mallard duck/ALB/224/1977_H7N5	mallard duck	waterfowl
22273	A/blue-winged teal/ALB/295/1977_H7N3	blue-winged teal	waterfowl
22275	A/widgeon/Alberta/284/1977_H7N3	widgeon	waterfowl
22277	A/pintail duck/Alberta/169/1980_H3N8	pintail duck	waterfowl
22279	A/green-winged teal/Alberta/228/1985_H7N3	green-winged teal	waterfowl
22281	A/mallard duck/Alberta/435/1985_H7N3	mallard duck	waterfowl
22283	A/laughing gull/Delaware Bay/2838/1987_H13N2	laughing gull	shorebirds
22285	A/ruddy turnstone/DE/2378/1988_H7N7	ruddy turnstone	shorebirds
22287	A/red knot/NJ/325/1989_H7N7	red knot	shorebirds
22289	A/pintail/Alberta/129/1993_H10N7	pintail	waterfowl
22291	A/mallard/Alberta/34/2001_H7N1	mallard	waterfowl
22293	A/mallard duck/Alberta/743/1983_H9N1	mallard duck	waterfowl
22295	A/mallard duck/ALB/98/1985_H6N2	mallard duck	waterfowl
22297	A/ruddy turnstone/DE/2576/1987_H9N5	ruddy turnstone	shorebirds
22299	A/laughing gull/Delaware Bay/2718/1987_H9N5	laughing gull	shorebirds
22301	A/ruddy turnstone/DE/2731/1987_H9N1	ruddy turnstone	shorebirds
22303	A/ruddy turnstone/DE/510/1988_H9N6	ruddy turnstone	shorebirds
22305	A/mallard duck/Alberta/321/1988_H9N2	mallard duck	waterfowl
22307	A/mallard/Alberta/11/1991_H9N2	mallard	waterfowl
22309	A/mallard/Alberta/17/1991_H9N2	mallard	waterfowl
22311	A/mallard duck/ALB/302/1977_H10N7	mallard duck	waterfowl
22313	A/blue-winged teal/ALB/778/1978_H10N3	blue-winged teal	waterfowl
22315	A/mallard duck/ALB/40/1984_H10N6	mallard duck	waterfowl
22317	A/pintail duck/ALB/584/1984_H10N6	pintail duck	waterfowl
22319	A/mallard/ALB/5/1995_H10N1	mallard	waterfowl
22321	A/mallard/ALB/196/1996_H10N7	mallard	waterfowl
22323	A/pintail/Alberta/202/2000_H10N7	pintail	waterfowl
22325	A/mallard/Alberta/208/2000_H10N7	mallard	waterfowl
22327	A/shorebird/DE/122/2004_H10N7	shorebird	shorebirds
22329	A/redhead duck/Alberta/357/1983_H11N9	redhead duck	waterfowl
22331	A/mallard duck/ALB/797/1983_H11N3	mallard duck	waterfowl
22333	A/mallard/ALB/124/1991_H11N2	mallard	waterfowl
22335	A/pintail/Alberta/84/2000_H11N9	pintail	waterfowl
22337	A/shorebird/DE/236/2003_H11N9	shorebird	shorebirds
22339	A/mallard duck/Alberta/342/1983_H12N1	mallard duck	waterfowl
22341	A/green-winged teal/ALB/199/1991_H12N5	green-winged teal	waterfowl
22343	A/ruddy turnstone/Delaware/94/2000_H12N4	ruddy turnstone	shorebirds
22345	A/ruddy turnstone/Delaware/97/2000_H12N5	ruddy turnstone	shorebirds
22351	A/semi-palmated sandpiper/Brazil/43/1990_H2N1	semi-palmated sandpiper	shorebirds
22353	A/sanderling/Delaware/1258/1986_H6N6	sanderling	shorebirds
22355	A/duck/Nanchang/2-0486/2000_H2N9	duck	waterfowl
22357	A/duck/Nanchang/4-184/2000_H2N9	duck	waterfowl
22361	A/quail/Nanchang/7-026/2000_H3N6	quail	domestic birds
22363	A/duck/Nanchang/1681/1992_H3N8	duck	waterfowl
22369	A/quail/Nanchang/2-0460/2000_H9N2	quail	domestic birds
22371	A/pigeon/Nanchang/2-0461/2000_H9N2	pigeon	land birds
22375	A/chicken/Nanchang/4-301/2001_H9N2	chicken	domestic birds
22397	A/duck/Hong Kong/784/1979_H9N2	duck	waterfowl
22403	A/black duck/AUS/751/1978_H3N8	black duck	waterfowl
22405	A/shearwater/Australia/405/1978_H3N8	shearwater	shorebirds
22407	A/gray teal/Australia/1/1979_H6N1	gray teal	waterfowl
22409	A/gray teal/Australia/3/1979_H4N6	gray teal	waterfowl
22413	A/black duck/AUS/4045/1980_H6N5	black duck	waterfowl
22415	A/red-necked stint/Australia/4189/1980_H4N8	red-necked stint	shorebirds
22425	A/duck/New Zealand/41/1984_H5N2	duck	waterfowl
22433	A/gull/Maryland/19/1977_H2N9	gull	shorebirds
22449	A/gull/Minnesota/945/1980_H13N6	gull	shorebirds
22451	A/pigeon/MN/1407/1981_H1N1	pigeon	land birds
22453	A/goose/MN/5733-1/1980_H9N2	goose	waterfowl
22455	A/blue-winged teal/MN/993/1980_H6N6	blue-winged teal	waterfowl
22457	A/pheasant/Minnesota/917/1980_H7N3	pheasant	domestic birds
22461	A/turkey/Minnesota/833/1980_H4N2	turkey	domestic birds
23671	A/blue-winged teal/Ohio/926/2002_H3N8	blue-winged teal	waterfowl
23673	A/mallard/Ohio/657/2002_H4N6	mallard	waterfowl
23677	A/blue-winged teal/Ohio/908/2002_H3N2	blue-winged teal	waterfowl
23679	A/mallard/Ohio/275/1987_H4N2	mallard	waterfowl
23689	A/mallard/Maryland/881/2002_H6N2	mallard	waterfowl
23721	A/wigeon/Ohio/379/1988_H5N2	wigeon	waterfowl
24107	A/mallard/Ohio/171/1990_H1N1	mallard	waterfowl
24111	A/mallard/Ohio/97/1989_H4N2	mallard	waterfowl
24113	A/mallard/Ohio/56/1999_H1N1	mallard	waterfowl
24115	A/pintail/Ohio/294/1988_H6N2	pintail	waterfowl
24117	A/pintail duck/Alaska/20/2005_H12N5	pintail duck	waterfowl
24219	A/mallard/Ohio/338/1986_H4N8	mallard	waterfowl
24223	A/pintail/Alaska/53/2005_H3N6	pintail	waterfowl
24373	A/green-winged teal/Ohio/178/1999_H6N2	green-winged teal	waterfowl
24455	A/mallard duck/Alberta/331/1985_H3N6	mallard duck	waterfowl
24463	A/gull/Maryland/704/1977_H13N6	gull	shorebirds
24471	A/turkey/Minnesota/957/1980_H6N6	turkey	domestic birds
24475	A/turkey/Minnesota/1/1988_H7N9	turkey	domestic birds
24485	A/mallard/New York/189/1982_H5N2	mallard	waterfowl
24487	A/mallard duck/New York/180/1986_H4N9	mallard duck	waterfowl
24493	A/duck/New York/16873/1999_H6N2	duck	waterfowl
24495	A/mallard duck/New York/170/1982_H1N2	mallard duck	waterfowl
24497	A/chicken/New York/28263/1989_H6N3	chicken	domestic birds
24531	A/ruddy turnstone/Delaware/105/1998_H6N8	ruddy turnstone	shorebirds
24533	A/ruddy turnstone/Delaware/34/1993_H2N1	ruddy turnstone	shorebirds
24535	A/black duck/Ohio/95/1993_H1N1	black duck	waterfowl
24537	A/mallard/Ohio/344/1987_H6N2	mallard	waterfowl
24539	A/green-winged teal/Ohio/344/1986_H4N2	green-winged teal	waterfowl
24541	A/mallard/Ohio/83/1986_H4N6	mallard	waterfowl
24543	A/mallard/Ohio/249/1998_H6N1	mallard	waterfowl
24545	A/mallard/Ohio/170/1999_H6N5	mallard	waterfowl
24547	A/mallard/Alaska/256/2005_H3N8	mallard	waterfowl
24549	A/pintail/Alaska/279/2005_H3N8	pintail	waterfowl
24707	A/pintail/Ohio/351/1987_H6N2	pintail	waterfowl
24709	A/pintail/Ohio/454/1987_H3N8	pintail	waterfowl
24713	A/gadwall/Ohio/37/1999_H6N2	gadwall	waterfowl
24715	A/green-winged teal/Ohio/86/1986_H6N2	green-winged teal	waterfowl
24749	A/mallard/Ohio/264/1986_H3N8	mallard	waterfowl
24753	A/mallard/Alaska/715/2005_H3N8	mallard	waterfowl
24755	A/mallard/Ohio/409/1988_H12N5	mallard	waterfowl
24803	A/mallard/Maryland/789/2002_H5N2	mallard	waterfowl
24889	A/mallard/Ohio/66/1999_H1N1	mallard	waterfowl
24969	A/mallard/Ohio/265/1987_H1N9	mallard	waterfowl
